Species,Nodulating 
Azorhizobium_caulinodans,Y
Azorhizobium_doebereinerae,Y
Bradyrhizobium_arachidis,Y
Bradyrhizobium_canariense,Y
Bradyrhizobium_diazoefficiens,Y
Bradyrhizobium_elkanii,Y
Bradyrhizobium_embrapense,Y
Bradyrhizobium_icense,Y
Bradyrhizobium_japonicum,Y
Bradyrhizobium_jicamae,Y
Bradyrhizobium_lablabi,Y
Bradyrhizobium_liaoningense,Y
Bradyrhizobium_manausense,Y
Bradyrhizobium_neotropicale,Y
Bradyrhizobium_ottawaense,Y
Bradyrhizobium_paxllaeri,Y
Bradyrhizobium_retamae,Y
Bradyrhizobium_shewense,Y
Bradyrhizobium_tropiciagri,Y
Bradyrhizobium_valentinum,Y
Bradyrhizobium_viridifuturi,Y
Bradyrhizobium_yuanmingense,Y
Cupriavidus_taiwanensis,Y
Ensifer_alkalisoli,Y
Ensifer_aridi,Y
Ensifer_glycinis,Y
Ensifer_sojae,Y
Mesorhizobium_alhagi,Y
Mesorhizobium_amorphae,Y
Mesorhizobium_australicum,Y
Mesorhizobium_ciceri_biovar_biserrulae,Y
Mesorhizobium_erdmanii,Y
Mesorhizobium_hawassense,Y
Mesorhizobium_helmanticense,Y
Mesorhizobium_huakuii,Y
Mesorhizobium_japonicum,Y
Mesorhizobium_kowhaii,Y
Mesorhizobium_loti,Y
Mesorhizobium_mediterraneum,Y
Mesorhizobium_metallidurans,Y
Mesorhizobium_muleiense,Y
Mesorhizobium_opportunistum,Y
Mesorhizobium_prunaredense,Y
Mesorhizobium_qingshengii,Y
Mesorhizobium_sanjuanii,Y
Mesorhizobium_sophorae,Y
Mesorhizobium_tamadayense,Y
Mesorhizobium_temperatum,Y
Mesorhizobium_waimense,Y
Mesorhizobium_wenxiniae,Y
Methylobacterium_nodulans,Y
Microvirga_lotononidis,Y
Microvirga_vignae,Y
Neorhizobium_galegae,Y
Neorhizobium_huautlense,Y
Paraburkholderia_diazotrophica,Y
Paraburkholderia_mimosarum,Y
Paraburkholderia_nodosa,Y
Paraburkholderia_phenoliruptrix,Y
Paraburkholderia_phymatum,Y
Paraburkholderia_rhynchosiae,Y
Paraburkholderia_ribeironis,Y
Paraburkholderia_sprentiae,Y
Paraburkholderia_symbiotica,Y
Paraburkholderia_terricola,Y
Paraburkholderia_tuberum,Y
Rhizobium_acidisoli,Y
Rhizobium_aegyptiacum,Y
Rhizobium_altiplani,Y
Rhizobium_anhuiense,Y
Rhizobium_bangladeshense,Y
Rhizobium_esperanzae,Y
Rhizobium_etli,Y
Rhizobium_freirei,Y
Rhizobium_gallicum,Y
Rhizobium_giardinii_bv._giardinii,Y
Rhizobium_grahamii,Y
Rhizobium_hidalgonense,Y
Rhizobium_jaguaris,Y
Rhizobium_laguerreae,Y
Rhizobium_leguminosarum_bv._Phaseoli,Y
Rhizobium_leguminosarum_bv._trifolii,Y
Rhizobium_leguminosarum_bv._viciae,Y
Rhizobium_lusitanum,Y
Rhizobium_mesoamericanum,Y
Rhizobium_phaseoli,Y
Rhizobium_pisi,Y
Rhizobium_sophorae,Y
Rhizobium_sullae,Y
Rhizobium_tibeticum,Y
Rhizobium_tropici,Y
Rhizobium_undicola,Y
Sinorhizobium_americanum,Y
Sinorhizobium_arboris,Y
Sinorhizobium_fredii,Y
Sinorhizobium_medicae,Y
Sinorhizobium_meliloti,Y
Sinorhizobium_saheli,Y
Paraburkholderia_dilworthii,Y